Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Pedrosa del Príncipe,Burgos,14.7 (16:00),-3.1 (07:20),5.8,15 (01:40),12 (02:10),0,0,0,0,0
Palacios de la Sierra,Burgos,14.2 (16:00),-5.9 (08:00),4.1,,,0,0,0,0,0
Monterrubio de la Demanda,Burgos,11.4 (14:20),-1.3 (08:40),5,28 (13:30),23 (13:40),0,0,0,0,0
Villamayor de los Montes,Burgos,12.6 (15:10),-2.7 (07:40),5,30 (15:30),18 (15:30),0,0,0,0,0
Burgos Aeropuerto,Burgos,12.8 (15:10),-2.3 (08:50),5.3,28 (11:50),22 (12:30),0,0,0,0,0
Santa Gadea de Alfoz,Burgos,11.6 (14:10),-1.2 (23:59),5.2,,,0,0,0,0,0
Sargentes de la Lora,Burgos,12.8 (14:10),0.0 (23:59),6.4,31 (13:30),20 (13:20),0,0,0,0,0
Briviesca,Burgos,13.5 (15:20),-0.8 (23:59),6.3,18 (04:40),10 (02:10),0,0,0,0,0
Medina de Pomar,Burgos,14.4 (16:40),-4.5 (09:10),4.9,21 (18:20),10 (19:40),0,0,0,0,0
Miranda de Ebro,Burgos,17.1 (15:20),-4.3 (08:30),6.4,21 (18:50),10 (18:50),0,0,0,0,0
Belorado,Burgos,12.5 (15:00),-0.6 (23:59),5.9,15 (15:30),7 (02:50),0,0,0,0,0
Puerto Rey,Cáceres,15.3 (15:30),0.6 (09:00),8,,,0,0,0,0,0
Navalvillar de Ibor,Cáceres,14.9 (14:10),5.3 (05:30),10.1,16 (17:40),9 (20:30),0,0,0,0,0
Madrigal de la Vera,Cáceres,13.1 (16:20),3.0 (09:10),8.1,11 (14:30),6 (18:10),0,0,0,0,0
Navalmoral de la Mata,Cáceres,13.3 (16:40),-3.1 (08:50),5.1,10 (01:00),8 (01:00),0,0,0,0,0
Garganta la Olla,Cáceres,11.9 (15:30),5.7 (08:00),8.8,13 (13:20),8 (13:20),0,0,0,0,0
Serradilla,Cáceres,13.6 (15:30),1.2 (08:20),7.4,13 (11:40),9 (11:40),0,0,0,0,0
